time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.7,0.015015,-0.073914,0.504089,0.001099,-0.0047,-0.000488
1.72,0.015564,-0.073853,0.504578,0.00116,-0.004578,-0.000488
1.74,0.015442,-0.073486,0.504517,0.00116,-0.004578,-0.000549
1.76,0.015503,-0.073853,0.504456,0.001099,-0.0047,-0.000488
1.78,0.015747,-0.073181,0.504395,0.00116,-0.004517,-0.000488
1.8,0.015991,-0.074036,0.503601,0.001099,-0.004578,-0.00061
1.82,0.015442,-0.073914,0.504517,0.001099,-0.004578,-0.000488
1.84,0.015259,-0.073853,0.504028,0.00116,-0.004517,-0.00061
1.86,0.015137,-0.073608,0.50415,0.00116,-0.004578,-0.000427
1.88,0.014893,-0.073669,0.504456,0.001038,-0.004639,-0.000549
1.9,0.015564,-0.073669,0.503601,0.001099,-0.004578,-0.000671
1.92,0.014771,-0.073486,0.503967,0.001038,-0.004639,-0.000671
1.94,0.014526,-0.073975,0.5047,0.001099,-0.004639,-0.000549
1.96,0.014648,-0.073303,0.504761,0.001099,-0.004578,-0.000488
1.98,0.015137,-0.073608,0.50415,0.001099,-0.004578,-0.000488
2.0,0.01532,-0.07373,0.504211,0.00116,-0.004578,-0.000549
2.02,0.015625,-0.073425,0.503906,0.001038,-0.004456,-0.00061
2.04,0.014709,-0.073364,0.504028,0.001099,-0.004639,-0.00061
2.06,0.015015,-0.073303,0.504578,0.00116,-0.0047,-0.00061
2.08,0.016052,-0.073792,0.504333,0.001038,-0.004578,-0.00061
2.1,0.01532,-0.072998,0.504517,0.00116,-0.004639,-0.000549
2.12,0.015381,-0.073853,0.504517,0.00116,-0.004578,-0.000549
2.14,0.015259,-0.074097,0.503967,0.001038,-0.004578,-0.000549
2.16,0.014771,-0.073608,0.504395,0.001099,-0.004639,-0.00061
2.18,0.015686,-0.074097,0.503845,0.00116,-0.004578,-0.000549
2.2,0.015442,-0.074219,0.504333,0.001038,-0.004578,-0.000549
2.22,0.014709,-0.073975,0.504395,0.001099,-0.004578,-0.000549
2.24,0.014893,-0.073914,0.504395,0.001099,-0.004639,-0.000549
2.26,0.015198,-0.073364,0.504272,0.001099,-0.004639,-0.000488
2.28,0.014771,-0.073792,0.504211,0.001038,-0.004578,-0.000488
2.3,0.015076,-0.073547,0.504456,0.001099,-0.004517,-0.000549
2.32,0.014099,-0.073425,0.504089,0.001099,-0.004639,-0.00061
2.34,0.01416,-0.073547,0.504517,0.00116,-0.004639,-0.000549
2.36,0.014709,-0.073181,0.504456,0.001221,-0.004639,-0.000488
2.38,0.01416,-0.072998,0.504639,0.00116,-0.004639,-0.000488
2.4,0.014893,-0.073242,0.504761,0.00116,-0.004517,-0.000488
2.42,0.014832,-0.073853,0.50354,0.001099,-0.004578,-0.00061
2.44,0.01532,-0.073425,0.503906,0.001099,-0.0047,-0.000549
2.46,0.015259,-0.074402,0.504578,0.001099,-0.004517,-0.000549
2.48,0.015991,-0.074585,0.504517,0.001221,-0.004578,-0.00061
2.5,0.016296,-0.074524,0.504456,0.001038,-0.004639,-0.000549
2.52,0.016968,-0.07489,0.503906,0.001099,-0.004578,-0.000549
2.54,0.016785,-0.074585,0.504089,0.00116,-0.004639,-0.00061
2.56,0.016663,-0.073853,0.504883,0.00116,-0.004639,-0.00061
2.58,0.016113,-0.074097,0.504272,0.001221,-0.004578,-0.000549
2.6,0.016418,-0.073975,0.503784,0.001099,-0.004578,-0.000488
2.62,0.015442,-0.073853,0.505188,0.001282,-0.004578,-0.000671
2.64,0.015808,-0.073669,0.504089,0.001038,-0.004639,-0.000549
2.66,0.015381,-0.073059,0.504456,0.001099,-0.0047,-0.000427
2.68,0.014893,-0.073547,0.50354,0.001221,-0.004456,-0.000549
2.7,0.015381,-0.07373,0.504333,0.001282,-0.004517,-0.000549
2.72,0.014648,-0.073181,0.504211,0.001099,-0.004639,-0.000488
2.74,0.014282,-0.072937,0.5047,0.00116,-0.004517,-0.000488
2.76,0.014099,-0.07373,0.504272,0.00116,-0.004517,-0.000488
2.78,0.014099,-0.073608,0.503845,0.001038,-0.004578,-0.000488
2.8,0.014709,-0.074219,0.504272,0.001099,-0.004639,-0.000671
2.82,0.014526,-0.07428,0.50415,0.001038,-0.0047,-0.00061
2.84,0.014709,-0.074341,0.504517,0.00116,-0.004578,-0.000427
2.86,0.014465,-0.074097,0.504456,0.001282,-0.004456,-0.00061
2.88,0.014954,-0.07428,0.504883,0.001038,-0.0047,-0.000549
2.9,0.015625,-0.074036,0.50531,0.00116,-0.004578,-0.000732
2.92,0.016663,-0.073792,0.503845,0.00116,-0.004517,-0.000671
2.94,0.016357,-0.073975,0.504639,0.00116,-0.004639,-0.000488
2.96,0.016846,-0.073669,0.504761,0.001282,-0.004456,-0.00061
2.98,0.016357,-0.073059,0.504517,0.001099,-0.004517,-0.000671
3.0,0.015259,-0.073364,0.504578,0.00116,-0.004517,-0.000488
3.02,0.014648,-0.073425,0.505554,0.001282,-0.004456,-0.000488
3.04,0.014282,-0.073486,0.504944,0.001221,-0.004761,-0.00061
3.06,0.013977,-0.073486,0.505798,0.001221,-0.004761,-0.000549
3.08,0.013367,-0.073425,0.504028,0.00116,-0.004639,-0.000488
3.1,0.013,-0.073181,0.503357,0.00116,-0.0047,-0.000427
3.12,0.013855,-0.073425,0.504578,0.001343,-0.0047,-0.000549
3.14,0.013489,-0.073425,0.50531,0.001343,-0.004639,-0.000671
3.16,0.014099,-0.073059,0.505371,0.001282,-0.004761,-0.000549
3.18,0.015015,-0.073608,0.505005,0.001221,-0.004761,-0.000549
3.2,0.016113,-0.07428,0.503418,0.001099,-0.004822,-0.00061
3.22,0.016479,-0.074646,0.504761,0.001343,-0.004761,-0.000549
3.24,0.016846,-0.074768,0.504883,0.001465,-0.004578,-0.000732
3.26,0.01709,-0.074097,0.505188,0.001282,-0.0047,-0.00061
3.28,0.016846,-0.07428,0.503296,0.00116,-0.004761,-0.000549
3.3,0.01709,-0.07428,0.504395,0.001404,-0.004639,-0.000549
3.32,0.016663,-0.074646,0.504028,0.001221,-0.004578,-0.000671
3.34,0.017212,-0.074341,0.503418,0.001221,-0.004822,-0.00061
3.36,0.016663,-0.073975,0.503845,0.001282,-0.004639,-0.000488
